INFO  - 2014-06-06 10:54:02.149; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[1667f5b0b95cd0af5c1474805aa21b5d (1470150572399132672)]} 0 3
INFO  - 2014-06-06 10:54:02.205; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[c4f7b7d0a2fa5814e420a124f4557901 (1470150572457852928)]} 0 3
INFO  - 2014-06-06 10:54:02.288; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f84d402abbf52dadf6441cd4d9f15582 (1470150572545933312)]} 0 2
INFO  - 2014-06-06 10:54:02.413; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[101fd73f1c1ab5821e4af7acd31ae036 (1470150572677005312)]} 0 2
INFO  - 2014-06-06 10:54:02.675; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ba5fe53a1300dbb8c69897872b4447cf (1470150572951732224)]} 0 3
INFO  - 2014-06-06 10:54:02.749; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ba0a752464cfcc508a67daf1555de589 (1470150573029326848)]} 0 2
INFO  - 2014-06-06 10:54:02.798; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[90447037e029f20d56cb58b864d17218 (1470150573080707072)]} 0 2
INFO  - 2014-06-06 10:54:02.935; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[79402c57a490bb3c0d9be58fba99da31 (1470150573223313408)]} 0 2
INFO  - 2014-06-06 10:54:02.979; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ba06013d7df9ad5f722033defbd8908f (1470150573270499328)]} 0 2
INFO  - 2014-06-06 10:54:02.986; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f2797db59e700192cb1cc5086ac5b55b (1470150573274693632)]} 0 5
INFO  - 2014-06-06 10:54:03.049; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a0d716215ef7ffcdccd93bb989f44b2e (1470150573336559616)]} 0 10
INFO  - 2014-06-06 10:54:03.173; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[4ae43ff0676c78b8e329b45b76c17409 (1470150573473923072)]} 0 2
INFO  - 2014-06-06 10:54:03.303; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[3a14ffa3c48f6427590090ba1669f90c (1470150573609189376)]} 0 2
INFO  - 2014-06-06 10:54:03.480; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[45dd57f5a105a81f7cef390947b03398 (1470150573795835904)]} 0 4
INFO  - 2014-06-06 10:54:03.627; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[04e84251af73a4624a0ca22f8773f059 (1470150573949976576)]} 0 2
INFO  - 2014-06-06 10:54:03.685; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[76d2936e617d1b3783b072b1bf474047 (1470150574010793984)]} 0 2
INFO  - 2014-06-06 10:54:03.731; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[415702860c4c34c85b1bfb5337b8b70e (1470150574057979904)]} 0 3
INFO  - 2014-06-06 10:54:03.757; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[b41195ccb89ac1d6fe2fb1bf834924f2 (1470150574085242880)]} 0 5
INFO  - 2014-06-06 10:54:03.801; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[e81c5b3f88b5d8a4ad0a43386e0190ca (1470150574132428800)]} 0 5
INFO  - 2014-06-06 10:54:03.812; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[2a22c6af7a1483306b6a5efa05c9b87d (1470150574142914560)]} 0 3
